BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;799;-1;<p:>;;;;;;;;;;
800;1439;0;h;;he;h i:;;;;;;;
2240;1119;0;i:;;he;h i:;;;;;;;
3360;799;1;r;;wrote;r @} t;;;;;;;
4160;1919;1;@};;wrote;r @} t;;;;;;;
6080;799;1;t;;wrote;r @} t;;;;;;;
6880;1119;2;d;;down;d {O n;;;;;;;
8000;2239;2;{O;;down;d {O n;;;;;;;
10240;479;2;n;;down;d {O n;;;;;;;
10720;639;3;{I;;a;{I;;;;;;;
11360;1599;4;l;;long;l O N;;;;;;;
12960;2079;4;O;;long;l O N;;;;;;;
15040;479;4;N;;long;l O N;;;;;;;
15520;1759;5;l;;list;l I s t;;;;;;;
17280;799;5;I;;list;l I s t;;;;;;;
18080;1279;5;s;;list;l I s t;;;;;;;
19360;799;5;t;;list;l I s t;;;;;;;
20160;799;6;@;;of;O v;;;;;;;
20960;2879;7;Ae;;items;Ae 4 @ m z;;;;;;;
23840;1439;7;4;;items;Ae 4 @ m z;;;;;;;
25280;799;7;@;;items;Ae 4 @ m z;;;;;;;
26080;1759;7;m;;items;Ae 4 @ m z;;;;;;;
27840;3461;7;z;;items;Ae 4 @ m z;;;;;;;
