BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;799;-1;<p:>;;;;;;;;;;
800;1119;0;D;;the;D @;;;;;;;
1920;799;0;@;;the;D @;;;;;;;
2720;1119;1;g;;green;g r i: n;;;;;;;
3840;639;1;r;;green;g r i: n;;;;;;;
4480;2399;1;i:;;green;g r i: n;;;;;;;
6880;959;1;n;;green;g r i: n;;;;;;;
7840;639;2;l;;light;l Ae t;;;;;;;
8480;2079;2;Ae;;light;l Ae t;;;;;;;
10560;959;2;t;;light;l Ae t;;;;;;;
11520;959;3;{;;and;{ n d;;;;;;;
12480;959;3;n;;and;{ n d;;;;;;;
13440;479;3;d;;and;{ n d;;;;;;;
13920;639;4;@;;the;D @;;;;;;;
14560;959;5;b;;brown;b r {O n;;;;;;;
15520;799;5;r;;brown;b r {O n;;;;;;;
16320;2079;5;{O;;brown;b r {O n;;;;;;;
18400;1119;5;n;;brown;b r {O n;;;;;;;
19520;799;6;b;;box;b O k s;;;;;;;
20320;1439;6;O;;box;b O k s;;;;;;;
21760;799;6;k;;box;b O k s;;;;;;;
22560;1599;6;s;;box;b O k s;;;;;;;
24160;1119;7;f;;flickered;f l I k @ d;;;;;;;
25280;479;7;l;;flickered;f l I k @ d;;;;;;;
25760;479;7;I;;flickered;f l I k @ d;;;;;;;
26240;1439;7;k;;flickered;f l I k @ d;;;;;;;
27680;1279;7;@;;flickered;f l I k @ d;;;;;;;
28960;1439;7;d;;flickered;f l I k @ d;;;;;;;
30400;3199;-1;<p:>;;;;;;;;;;
