BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;4479;-1;<p:>;;;;;;;;;;
4480;479;0;h;;he;h i:;;;;;;;
4960;2239;0;e;;he;h i:;;;;;;;
7200;799;1;r;;wrote;r @} t;;;;;;;
8000;1759;1;@};;wrote;r @} t;;;;;;;
9760;959;1;t;;wrote;r @} t;;;;;;;
10720;1119;2;d;;down;d {O n;;;;;;;
11840;1279;2;{O;;down;d {O n;;;;;;;
13120;639;2;n;;down;d {O n;;;;;;;
13760;639;3;{I;;a;{I;;;;;;;
14400;1279;4;l;;long;l O N;;;;;;;
15680;1759;4;O;;long;l O N;;;;;;;
17440;479;4;N;;long;l O N;;;;;;;
17920;1759;5;l;;list;l I s t;;;;;;;
19680;479;5;I;;list;l I s t;;;;;;;
20160;1279;5;s;;list;l I s t;;;;;;;
21440;799;5;t;;list;l I s t;;;;;;;
22240;639;6;@;;of;O v;;;;;;;
22880;639;6;v;;of;O v;;;;;;;
23520;2559;7;Ae;;items;Ae 4 @ m z;;;;;;;
26080;1279;7;4;;items;Ae 4 @ m z;;;;;;;
27360;1599;7;@;;items;Ae 4 @ m z;;;;;;;
28960;2719;7;m;;items;Ae 4 @ m z;;;;;;;
31680;3999;7;z;;items;Ae 4 @ m z;;;;;;;
35680;1708;-1;<p:>;;;;;;;;;;
