BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;8639;-1;<p:>;;;;;;;;;;
8640;1279;0;l;;leave;l i: v;;;;;;;
9920;1919;0;i:;;leave;l i: v;;;;;;;
11840;1279;0;v;;leave;l i: v;;;;;;;
13120;959;1;D;;the;D @;;;;;;;
14080;639;1;@;;the;D @;;;;;;;
14720;2079;2;k;;carpet;k 6: p @ t;;;;;;;
16800;1919;2;6:;;carpet;k 6: p @ t;;;;;;;
18720;1439;2;p;;carpet;k 6: p @ t;;;;;;;
20160;1279;2;@;;carpet;k 6: p @ t;;;;;;;
21440;479;2;t;;carpet;k 6: p @ t;;;;;;;
21920;1759;3;O;;on;O n;;;;;;;
23680;1119;3;n;;on;O n;;;;;;;
24800;959;4;@;;the;D @;;;;;;;
25760;1439;5;r;;right;r Ae t;;;;;;;
27200;2239;5;Ae;;right;r Ae t;;;;;;;
29440;1119;5;t;;right;r Ae t;;;;;;;
30560;1279;6;h;;hand;h { n d;;;;;;;
31840;1279;6;{;;hand;h { n d;;;;;;;
33120;959;6;n;;hand;h { n d;;;;;;;
34080;2239;7;s;;side;s Ae d;;;;;;;
36320;3359;7;Ae;;side;s Ae d;;;;;;;
39680;1759;7;d;;side;s Ae d;;;;;;;
41440;5776;-1;<p:>;;;;;;;;;;
