BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;660;0;m;;Myself;m Ae s { l f;;;;;;;
661;3086;0;Ae;;Myself;m Ae s { l f;;;;;;;
3748;3968;0;s;;Myself;m Ae s { l f;;;;;;;
7717;1542;0;{;;Myself;m Ae s { l f;;;;;;;
9260;2866;0;l;;Myself;m Ae s { l f;;;;;;;
12127;3527;0;f;;Myself;m Ae s { l f;;;;;;;
15655;2865;-1;<p:>;;;;;;;;;;
18521;3748;1;Ae;;I;Ae;;;;;;;
22270;2645;2;f;;felt;f { l t;;;;;;;
24916;1322;2;{;;felt;f { l t;;;;;;;
26239;1542;2;l;;felt;f { l t;;;;;;;
27782;1102;2;t;;felt;f { l t;;;;;;;
28885;1763;3;d;;disappointed;d I s @ p oI n t @ d;;;;;;;
30649;1322;3;I;;disappointed;d I s @ p oI n t @ d;;;;;;;
31972;2865;3;s;;disappointed;d I s @ p oI n t @ d;;;;;;;
34838;882;3;@;;disappointed;d I s @ p oI n t @ d;;;;;;;
35721;2865;3;p;;disappointed;d I s @ p oI n t @ d;;;;;;;
38587;3306;3;oI;;disappointed;d I s @ p oI n t @ d;;;;;;;
41894;661;3;n;;disappointed;d I s @ p oI n t @ d;;;;;;;
42556;660;3;t;;disappointed;d I s @ p oI n t @ d;;;;;;;
43217;661;3;@;;disappointed;d I s @ p oI n t @ d;;;;;;;
43879;1763;3;d;;disappointed;d I s @ p oI n t @ d;;;;;;;
45643;660;4;D;;that;D { t;;;;;;;
46304;1543;4;{;;that;D { t;;;;;;;
47848;1542;4;t;;that;D { t;;;;;;;
49391;661;5;D;;there;D e:;;;;;;;
50053;1763;5;e:;;there;D e:;;;;;;;
51817;3527;6;w;;was;w O z;;;;;;;
55345;1322;6;@;;was;w O z;;;;;;;
56668;2424;6;z;;was;w O z;;;;;;;
59093;1323;7;n;;not;n O t;;;;;;;
60417;2645;7;O;;not;n O t;;;;;;;
63063;1101;7;t;;not;n O t;;;;;;;
64165;881;8;{I;;a;{I;;;;;;;
65047;3527;9;s;;salute;s @ l }: t;;;;;;;
68575;660;9;@;;salute;s @ l }: t;;;;;;;
69236;2646;9;l;;salute;s @ l }: t;;;;;;;
71883;1322;9;}:;;salute;s @ l }: t;;;;;;;
73206;1763;9;t;;salute;s @ l }: t;;;;;;;
74970;1322;10;@;;of;O v;;;;;;;
76293;1542;10;v;;of;O v;;;;;;;
77836;1763;11;t;;twenty-five;t w e n t i: f Ae v;;;;;;;
79600;1983;11;w;;twenty-five;t w e n t i: f Ae v;;;;;;;
81584;1543;11;e;;twenty-five;t w e n t i: f Ae v;;;;;;;
83128;660;11;n;;twenty-five;t w e n t i: f Ae v;;;;;;;
83789;661;11;t;;twenty-five;t w e n t i: f Ae v;;;;;;;
84451;3306;11;i:;;twenty-five;t w e n t i: f Ae v;;;;;;;
87758;2205;11;f;;twenty-five;t w e n t i: f Ae v;;;;;;;
89964;4409;11;Ae;;twenty-five;t w e n t i: f Ae v;;;;;;;
94374;1101;11;v;;twenty-five;t w e n t i: f Ae v;;;;;;;
95476;2204;12;g;;guns;g 6 n z;;;;;;;
97681;3747;12;6;;guns;g 6 n z;;;;;;;
101429;2646;12;n;;guns;g 6 n z;;;;;;;
104076;4826;12;z;;guns;g 6 n z;;;;;;;
108903;664;-1;<p:>;;;;;;;;;;
